id,archivo,titular,fuente,fecha,url,cuerpo_completo,motivo_cuerpo,palabras_cuerpo,relevancia_prefiltro,motivo_prefiltro
1,noticias/20260922_001_el-instituto-espanol-de-analistas-premia-a-acs-con-la-brujul.md,El Instituto Español de Analistas premia a ACS con la Brújula del Año 2026,elplural.com (descubierta),2026-09-22 20:03,https://www.elplural.com/economia/empresas/instituto-espanol-analistas-premia-acs-brujula-ano-2026_400972102,si,,483,fuera,No aparece el ámbito de la Agencia; candidata a descarte.
2,noticias/20260922_002_los-bomberos-rescatan-a-una-persona-atrapada-en-un-balcon-du.md,Los bomberos rescatan a una persona atrapada en un balcón durante un incendio en una vivienda de Mijas,andaluciainformacion.es (descubierta),2026-09-22 19:56,https://www.andaluciainformacion.es/articulo/mijas/bomberos-rescatan-persona-atrapada-balcon-incendio-vivienda-mijas/202609221956103484921.html,si,,220,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.
3,noticias/20260922_003_destinados-mas-de-3-6-millones-en-obras-de-emergencia-para-r.md,"Destinados más de 3,6 millones en obras de emergencia para reducir riesgos tras el incendio de Niebla",andaluciainformacion.es (descubierta),2026-09-22 19:52,https://www.andaluciainformacion.es/articulo/el-condado/destinados-mas-36-millones-obras-emergencia-reducir-riesgos-incendio-niebla/202609221952123485278.html,si,,769,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.
4,noticias/20260922_004_el-psoe-denuncia-que-la-junta-abandona-a-77-ayuntamientos-al.md,El PSOE denuncia que la Junta abandona a 77 ayuntamientos al no ejecutar el plan de rehabilitación energética,Democrata,2026-09-22 19:44,https://www.democrata.es/castilla-y-leon/el-psoe-denuncia-que-la-junta-abandona-a-77-ayuntamientos-al-no-ejecutar-el-plan-de-rehabilitacion-energetica/,no,La página no expone el texto del artículo en HTML plano.,0,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.
5,noticias/20260922_005_farajan-construira-nuevas-viviendas-y-un-aparcamiento-public.md,Faraján construirá nuevas viviendas y un aparcamiento público,andaluciainformacion.es (descubierta),2026-09-22 19:42,https://www.andaluciainformacion.es/articulo/ronda-comarca/farajan-construira-nuevas-viviendas-parking-publico/202609221942383485266.html,si,,227,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.
6,noticias/20260922_006_canarias-quiere-mas-fondos-para-carreteras-porque-el-conveni.md,Canarias quiere más fondos para carreteras porque el convenio actual ya está comprometido,eldia.es (descubierta),2026-09-22 17:40,https://www.eldia.es/canarias/2026/09/22/canarias-quiere-fondos-carreteras-convenio-134570201.html,si,,281,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.
7,noticias/20260922_007_delcy-rodriguez-saluda-a-sanchez-en-la-onu-y-el-presidente-l.md,"Delcy Rodríguez saluda a Sánchez en la ONU y el presidente le garantiza su ""compromiso"" con Venezuela",elplural.com (descubierta),2026-09-22 19:35,https://www.elplural.com/politica/internacional/delcy-rodriguez-saluda-sanchez-onu-presidente-garantiza-compromiso-venezuela_400970102,si,,537,fuera,No aparece el ámbito de la Agencia; candidata a descarte.
8,noticias/20260922_008_maricarmen-y-david-la-realidad-de-madrid-los-fondos-buitre-d.md,"Maricarmen y David, la realidad de Madrid: los fondos buitre desembarcan en la capital de los desahucios",elplural.com (descubierta),2026-09-22 19:33,https://www.elplural.com/autonomias/madrid/maricarmen-david-realidad-madrid-fondos-buitre-desembarcan-capital-desahucios_400940102,si,,755,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.
9,noticias/20260922_009_intoxicados-tres-bomberos-y-dos-policias-en-un-edificio-de-v.md,Intoxicados tres bomberos y dos policías en un edificio de València donde estaban fumigando,levante-emv.com (descubierta),2026-09-22 17:26,https://www.levante-emv.com/valencia/2026/09/22/intoxicados-tres-bomberos-policias-edificio-134569497.html,si,,206,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.
10,noticias/20260922_010_el-puerto-global-impulsa-el-autoconsumo-compartido-para-redu.md,El Puerto Global impulsa el autoconsumo compartido para reducir los costes energéticos,andaluciainformacion.es (descubierta),2026-09-22 19:00,https://www.andaluciainformacion.es/articulo/el-puerto/puerto-global-impulsa-autoconsumo-compartido-reducir-costes-energeticos/202609221900413485220.html,si,,630,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.
